# eGADA: enhanced Genome Alteration Detection Algorithm
# Authors: Yu Huang polyactis@gmail.com, Roger Pique-Regi piquereg@usc.edu
# Parameters: a=0.5,T=5,MinSegLen=0,sigma2=0.207949,BaseAmp=0, convergenceDelta=1e-08, maxNoOfIterations=50000, convergenceMaxAlpha=1e+08, convergenceB=1e-20.
# Reading M=80000 probes in input file
# Overall mean 0.00135799
# Sigma^2=0.207949
# Convergence: delta=9.91983e-09 after 419 EM iterations.
# Found 625 breakpoints after SBL
# Kept 440 breakpoints after BE
# Estimating BaseAmp
# BaseAmp=0.00826098 
Start	Stop	Length	Ampl	State
28955	29137	400	0.00826098	L
29138	29322	400	0.00826098	L
29323	29394	808	0.00826098	L
29395	30689	633	0.00826098	L
30690	30726	771	0.00826098	L
30727	30769	566	0.00826098	L
30770	31170	401	0.00826098	L
31171	31274	401	0.00826098	L
31275	32341	400	0.00826098	L
32342	32384	437	0.00826098	L
32385	32651	403	0.00826098	L
32652	32697	401	0.00826098	L
32698	33098	401	0.00826098	L
33099	33217	397	0.00826098	L
33218	33343	645	0.00826098	L
33344	35510	402	0.00826098	L
35511	35757	644	0.00826098	L
35758	36258	403	0.00826098	L
36259	36303	566	0.00826098	L
36304	37258	401	0.00826098	L
37259	37550	401	0.00826098	L
37551	37671	400	0.00826098	L
37672	38087	402	0.00826098	L
38088	38392	670	0.00826098	L
38393	38962	407	0.00826098	L
38963	39088	1599	0.00826098	L
39089	39934	401	0.00826098	L
39935	40001	661	0.00826098	L
40002	40438	448	0.00826098	L
40439	40631	403	0.00826098	L
40632	41030	955	0.00826098	L
41031	41414	401	0.00826098	L
41415	41487	498	0.00826098	L
41488	42132	794	0.00826098	L
42133	42149	1814	0.00826098	L
42150	42552	2167	0.00826098	L
42553	42625	401	0.00826098	L
42626	43026	1272	0.00826098	L
43027	43129	76	0.00826098	L
43130	43526	401	0.00826098	L
43527	43741	531	0.00826098	N
43742	44413	570	0.00826098	G
44414	44690	470	0.00826098	G
44691	44893	477	0.00826098	G
44894	45294	1018	0.00826098	G
45295	45477	1286	0.00826098	G
45478	45830	718	0.00826098	G
45831	46137	846	0.00826098	G
46138	47993	1283	0.00826098	G
47994	48124	407	0.00826098	G
48125	48227	1067	0.00826098	G
48228	48627	1295	0.00826098	G
48628	48787	628	0.00826098	G
48788	49189	401	0.00826098	G
49190	49273	400	0.00826098	G
49274	49366	1856	0.00826098	G
49367	50638	401	0.00826098	G
50639	50678	1152	0.00826098	G
50679	50862	702	0.00826098	G
50863	51045	1178	0.00826098	G
51046	51224	672	0.00826098	G
51225	51401	1623	0.00826098	G
51402	51544	614	0.00826098	G
51545	53167	1191	0.00826098	G
53168	53190	399	0.00826098	G
53191	53302	402	0.00826098	G
53303	53935	1143	0.00826098	G
53936	54071	401	0.00826098	G
54072	54212	416	0.00826098	G
54213	54330	641	0.00826098	G
54331	54958	401	0.00826098	G
54959	55033	716	0.00826098	G
55034	55165	401	0.00826098	G
55166	55297	608	0.00826098	G
55298	55427	17	0.783977	G
55428	55556	72	0.826245	G
55557	55684	62	0.85427	G
55685	55811	57	0.857016	G
55812	55847	53	0.862126	G
55848	56488	51	0.880261	G
56489	56552	25	0.881578	G
56553	56673	35	0.888943	G
56674	56792	26	0.893704	G
56793	56894	106	0.89397	G
56895	57606	73	0.894444	G
57607	57697	87	0.897477	G
57698	58195	100	0.898649	G
58196	58275	55	0.905778	G
58276	58384	112	0.907826	G
58385	58419	67	0.911706	G
58420	58826	63	0.912745	G
58827	58920	183	0.912929	G
58921	59026	95	0.914138	G
59027	59429	87	0.914424	G
59430	59442	74	0.915582	G
59443	59525	177	0.915585	G
59526	59927	42	0.917496	G
59928	59949	50	0.920269	G
59950	60049	55	0.92147	G
60050	60149	97	0.923498	G
60150	60248	50	0.924784	G
60249	60345	53	0.925035	G
60346	60445	55	0.930941	G
60446	60542	49	0.931759	G
60543	60639	51	0.932233	G
60640	60736	74	0.932676	G
60737	60832	50	0.933876	G
60833	60928	84	0.934303	G
60929	61023	57	0.935378	G
61024	61118	51	0.936524	G
61119	61213	24	0.93766	G
61214	61307	38	0.939118	G
61308	61400	68	0.939452	G
61401	61494	53	0.939862	G
61495	61586	46	0.94105	G
61587	61679	89	0.941285	G
61680	61771	51	0.9428	G
61772	61863	19	0.942951	G
61864	61954	114	0.94577	G
61955	62045	54	0.947158	G
62046	62135	70	0.948057	G
62136	62226	52	0.948964	G
62227	62315	100	0.949762	G
62316	62323	116	0.94999	G
62324	62723	40	0.951143	G
62724	62759	61	0.951803	G
62760	62847	13	0.951887	G
62848	62934	63	0.952614	G
62935	63021	11	0.955205	G
63022	63108	112	0.955805	G
63109	63194	56	0.955907	G
63195	63280	109	0.957321	G
63281	63366	6	0.958929	G
63367	63452	141	0.960181	G
63453	63537	63	0.960199	G
63538	63622	74	0.960734	G
63623	63694	85	0.961547	G
63695	64837	292	0.96296	G
64838	64859	119	0.96357	G
64860	64925	60	0.963748	G
64926	65326	193	0.964439	G
65327	65337	67	0.966172	G
65338	65404	114	0.966956	G
65405	65852	95	0.967621	G
65853	65884	50	0.969172	G
65885	65948	67	0.969553	G
65949	66425	22	0.97012	G
66426	66495	59	0.970263	G
66496	66504	9	0.970485	G
66505	66911	56	0.97099	G
66912	66944	52	0.972132	G
66945	67018	384	0.972696	G
67019	67092	51	0.972748	G
67093	67166	63	0.97353	G
67167	67239	62	0.973564	G
67240	67313	71	0.974167	G
67314	67386	353	0.974363	G
67387	67459	131	0.974961	G
67460	67531	85	0.975709	G
67532	67544	45	0.976601	G
67545	67945	267	0.978237	G
67946	67964	53	0.978726	G
67965	68035	132	0.979903	G
68036	68106	93	0.981698	G
68107	68178	89	0.983072	G
68179	68248	129	0.983492	G
68249	68319	92	0.983584	G
68320	68390	75	0.985034	G
68391	68439	126	0.985427	G
68440	69155	96	0.987115	G
69156	69223	119	0.989412	G
69224	69290	48	0.989811	G
69291	69359	54	0.990064	G
69360	69427	51	0.99015	G
69428	69495	118	0.990402	G
69496	69563	57	0.991918	G
69564	69631	103	0.991962	G
69632	69698	72	0.992702	G
69699	69765	99	0.995832	G
69766	69831	60	0.996434	G
69832	69899	127	0.996492	G
69900	69966	54	0.99816	G
69967	70033	58	0.998294	G
70034	70075	177	0.998729	G
70076	71674	57	0.999008	G
71675	71717	64	0.999963	G
71718	71780	51	1.00063	G
71781	71843	89	1.00078	G
71844	71906	72	1.00275	G
71907	71968	132	1.00293	G
71969	72031	183	1.00505	G
72032	72093	88	1.00548	G
72094	72155	50	1.00578	G
72156	72218	72	1.00789	G
72219	72280	70	1.00858	G
72281	72297	51	1.00989	G
72298	72905	22	1.01123	G
72906	72954	37	1.01129	G
72955	73015	99	1.01176	G
73016	73062	141	1.0123	G
73063	73463	100	1.01369	G
73464	73496	148	1.014	G
73497	73555	33	1.01488	G
73556	73615	92	1.01594	G
73616	73626	61	1.01962	G
73627	74270	93	1.01982	G
74271	74307	91	1.02157	G
74308	74708	68	1.02173	G
74709	74727	19	1.02197	G
74728	74785	58	1.02264	G
74786	74842	71	1.02404	G
74843	74899	35	1.02427	G
74900	74957	91	1.02501	G
74958	75014	73	1.02957	G
75015	75071	501	1.02978	G
75072	75117	67	1.0321	G
75118	75819	51	1.03214	G
75820	75860	46	1.0322	G
75861	75916	66	1.03249	G
75917	75972	52	1.03256	G
75973	76027	55	1.03442	G
76028	76083	203	1.03591	G
76084	76128	63	1.03664	G
76129	76528	71	1.03947	G
76529	76578	37	1.04065	G
76579	76633	54	1.04131	G
76634	76687	58	1.04326	G
76688	76742	50	1.04644	G
76743	76796	54	1.04823	G
76797	76851	67	1.0484	G
76852	76905	24	1.04935	G
76906	76959	61	1.05019	G
76960	77013	60	1.0506	G
77014	77046	14	1.05229	G
77047	77447	33	1.05266	G
77448	77496	48	1.05456	G
77497	77549	10	1.05505	G
77550	77603	86	1.05759	G
77604	77656	88	1.05884	G
77657	77709	86	1.05888	G
77710	77762	74	1.06022	G
77763	77815	144	1.0634	G
77816	77837	57	1.07133	G
77838	78239	90	1.07286	G
78240	78287	51	1.08028	G
78288	79439	73	1.08064	G
79440	79471	26	1.08391	G
79472	79522	12	1.08713	G
79523	79572	64	1.08755	G
79573	79623	53	1.08781	G
79624	79673	46	1.09673	G
79674	79724	14	1.11527	G
79725	79774	61	1.14703	G
79775	79824	15	1.1844	G
79825	79874	17	1.22587	G
79875	79924	13	1.26986	G
79925	80000	6	1.43053	G
